lettuce;0.5;45;55;0;0;0;0;7718.97;1
tomato;1.4;50;60;0;0;0;0;7718.98;1
onion;0.4;80;150;0;0;0;0;6817.97;1
olive;6;1460;2920;0;0;0;0;1240.55;0
trout;3.5;360;420;3;0;0;0;11637.96;1
gruyere;21;300;720;2;0;0;0;0;0
chickpeas;0.9;90;110;1;0;0;0;6817.97;1
rice;4;100;120;0;0;0;0;7718.97;1
soyaSprout;0.9;49;70;0;0;0;0;7940.88;1
carrot;0.4;70;80;0;0;0;0;7718.97;1
zucchini;0.488669806;35;55;0;0;0;0;7718.97;1
lime;0.3;90;120;0;0;0;0;7718.97;1
peanut;0.4;120;150;0;0;0;0;7718.97;1
tofu;2;30;40;1;0;0;0;7718.97;1
egg;4.5;1;1;2;0;0;0;7718.97;1
beef;40.5;540;660;3;0;0;0;7940.88;1
apple;0.4;130;150;0;0;0;0;7718.97;1
soyaMilk;0.9;7;10;1;0;0;0;7940.88;1
milk;3;360;540;2;0;0;0;6817.97;1
milk;3;360;540;3;0;0;0;6817.97;1
avocado;3.277663331;1095;1460;0;0;0;0;9555.46;1
wine;1.75;28;35;0;0;0;0;598.64;0
beer;1.2;30;60;0;0;0;0;7718.97;1
