lettuce;2.32;45;55;0;0;0;0;7718.97;1
tomato;1.195;50;60;0;0;0;0;7718.98;1
onion;0.42;80;150;0;0;0;0;6817.97;1
olive;0.93;1460;2920;0;0;0;0;1240.55;0
trout;5.7;360;420;3;0;0;0;11637.96;1
gruyere;6.27;300;720;2;0;0;0;0;0
chickpeas;0.79;90;110;1;0;0;0;6817.97;1
rice;2.16;100;120;0;0;0;0;7718.97;1
soyaSprout;0.76;49;70;0;0;0;0;7940.88;1
carrot;0.77;70;80;0;0;0;0;7718.97;1
zucchini;0.41;35;55;0;0;0;0;7718.97;1
lime;0.53;90;120;0;0;0;0;7718.97;1
peanut;4.68;120;150;0;0;0;0;7718.97;1
tofu;0.68;30;40;1;0;0;0;7718.97;1
egg;2.41;1;1;2;0;0;0;7718.97;1
beef;33.98;540;660;3;0;0;0;7940.88;1
apple;0.28;130;150;0;0;0;0;7718.97;1
soyaMilk;0.42;7;10;1;0;0;0;7940.88;1
milk;1.49;360;540;2;0;0;0;6817.97;1
milk;1.49;360;540;3;0;0;0;6817.97;1
avocado;2.75;1095;1460;0;0;0;0;9555.46;1
wine;1.05;28;35;0;0;0;0;598.64;0
beer;1.09;30;60;0;0;0;0;7718.97;1
