lettuce;2;45;55;0;0;0;0;7718.97;1
tomato;2;50;60;0;0;0;0;7718.98;1
onion;2;80;150;0;0;0;0;6817.97;1
olive;1.1;1460;2920;0;0;0;0;1240.55;0
trout;6.1;360;420;3;0;0;0;11637.96;1
gruyere;13.5;300;720;2;0;0;0;0;0
chickpeas;2;90;110;1;0;0;0;6817.97;1
rice;2.7;100;120;0;0;0;0;7718.97;1
soyaSprout;2;49;70;0;0;0;0;7940.88;1
carrot;2;70;80;0;0;0;0;7718.97;1
zucchini;2;35;55;0;0;0;0;7718.97;1
lime;1.1;90;120;0;0;0;0;7718.97;1
peanut;2;120;150;0;0;0;0;7718.97;1
tofu;2;30;40;1;0;0;0;7718.97;1
egg;4.8;1;1;2;0;0;0;7718.97;1
beef;27;540;660;3;0;0;0;7940.88;1
apple;1.1;130;150;0;0;0;0;7718.97;1
soyaMilk;2;7;10;1;0;0;0;7940.88;1
milk;1.9;360;540;2;0;0;0;6817.97;1
milk;1.9;360;540;3;0;0;0;6817.97;1
avocado;1.1;1095;1460;0;0;0;0;9555.46;1
wine;2.091286307;28;35;0;0;0;0;598.64;0
beer;2.170954357;30;60;0;0;0;0;7718.97;1
