lettuce;0.22;45;55;0;1;0.22;0.3;7718.97;1
tomato;0.26;50;60;0;1;0.26;0.36;7718.98;1
onion;0.32;80;150;0;0;0;0;6817.97;1
olive;0.31;1460;2920;0;0;0;0;1240.55;0
trout;3.545;360;420;3;0;0;0;11637.96;1
gruyere;9.85;300;720;2;0;0;0;0;0
chickpeas;0.463044831;90;110;1;0;0;0;6817.97;1
rice;2.38;100;120;0;0;0;0;7718.97;1
soyaSprout;0.59;49;70;0;0;0;0;7940.88;1
carrot;0.14;70;80;0;0;0;0;7718.97;1
zucchini;0.240314406;35;55;0;0;0;0;7718.97;1
lime;0.12;90;120;0;0;0;0;7718.97;1
peanut;0.6;120;150;0;0;0;0;7718.97;1
tofu;0.74;30;40;1;1;0.74;0.72;7718.97;1
egg;2.065;1;1;2;0;0;0;7718.97;1
beef;17.055;540;660;3;0;0;0;7940.88;1
apple;0.26;130;150;0;1;0.26;0.22;7718.97;1
soyaMilk;0.72;7;10;1;0;0;0;7940.88;1
milk;0.82;360;540;2;0;0;0;6817.97;1
milk;0.82;360;540;3;0;0;0;6817.97;1
avocado;1.611864918;1095;1460;0;0;0;0;9555.46;1
wine;0.67;28;35;0;0;0;0;598.64;0
beer;0.41;30;60;0;0;0;0;7718.97;1
