lettuce;0.272;45;55;0;0;0;0;7718.97;1
tomato;0.3615;50;60;0;0;0;0;7718.98;1
onion;0.306;80;150;0;0;0;0;6817.97;1
olive;0.405;1460;2920;0;0;0;0;1240.55;0
trout;2.331;360;420;3;0;0;0;11637.96;1
gruyere;12.846;300;720;2;0;0;0;0;0
chickpeas;0.799;90;110;1;0;0;0;6817.97;1
rice;1.436;100;120;0;0;0;0;7718.97;1
soyaSprout;4.009;49;70;0;1;4.009;0.71;7940.88;1
carrot;0.241;70;80;0;0;0;0;7718.97;1
zucchini;0.302;35;55;0;0;0;0;7718.97;1
lime;0.309;90;120;0;0;0;0;7718.97;1
peanut;1.313;120;150;0;0;0;0;7718.97;1
tofu;1.095;30;40;1;0;0;0;7718.97;1
egg;1.679030423;1;1;2;0;0;0;7718.97;1
beef;16.917;540;660;3;0;0;0;7940.88;1
apple;0.308;130;150;0;0;0;0;7718.97;1
soyaMilk;0.316;7;10;1;0;0;0;7940.88;1
milk;1.683;360;540;2;0;0;0;6817.97;1
milk;1.683;360;540;3;0;0;0;6817.97;1
avocado;0.722;1095;1460;0;0;0;0;9555.46;1
wine;0.731527778;28;35;0;0;0;0;598.64;0
beer;0.759395503;30;60;0;0;0;0;7718.97;1
